Process Id = 115, Previous Burst Time = 42, New Burst Time = 0, Response Time = 168, Turn Around Time = 210
Process Id = 116, Previous Burst Time = 66, New Burst Time = 0, Response Time = 128, Turn Around Time = 194
Process Id = 117, Previous Burst Time = 90, New Burst Time = 0, Response Time = 108, Turn Around Time = 198
Process Id = 118, Previous Burst Time = 45, New Burst Time = 0, Response Time = 155, Turn Around Time = 200
Process Id = 119, Previous Burst Time = 20, New Burst Time = 0, Response Time = 134, Turn Around Time = 154
Process Id = 120, Previous Burst Time = 41, New Burst Time = 0, Response Time = 64, Turn Around Time = 105
Process Id = 121, Previous Burst Time = 30, New Burst Time = 0, Response Time = 60, Turn Around Time = 90
Process Id = 122, Previous Burst Time = 32, New Burst Time = 0, Response Time = 70, Turn Around Time = 102
Process Id = 123, Previous Burst Time = 18, New Burst Time = 0, Response Time = 61, Turn Around Time = 79
Process Id = 58, Previous Burst Time = 97, New Burst Time = 0, Response Time = 3571, Turn Around Time = 3668
Process Id = 125, Previous Burst Time = 72, New Burst Time = 0, Response Time = 114, Turn Around Time = 186
Process Id = 126, Previous Burst Time = 82, New Burst Time = 0, Response Time = 168, Turn Around Time = 250
Process Id = 127, Previous Burst Time = 76, New Burst Time = 0, Response Time = 154, Turn Around Time = 230
Process Id = 128, Previous Burst Time = 10, New Burst Time = 0, Response Time = 157, Turn Around Time = 167
Process Id = 129, Previous Burst Time = 28, New Burst Time = 0, Response Time = 85, Turn Around Time = 113
Process Id = 130, Previous Burst Time = 68, New Burst Time = 0, Response Time = 37, Turn Around Time = 105
Process Id = 131, Previous Burst Time = 57, New Burst Time = 0, Response Time = 96, Turn Around Time = 153
Process Id = 132, Previous Burst Time = 98, New Burst Time = 0, Response Time = 124, Turn Around Time = 222
Process Id = 133, Previous Burst Time = 54, New Burst Time = 0, Response Time = 154, Turn Around Time = 208
Process Id = 134, Previous Burst Time = 87, New Burst Time = 0, Response Time = 151, Turn Around Time = 238
Process Id = 135, Previous Burst Time = 66, New Burst Time = 0, Response Time = 140, Turn Around Time = 206
Process Id = 136, Previous Burst Time = 7, New Burst Time = 0, Response Time = 152, Turn Around Time = 159
Process Id = 137, Previous Burst Time = 84, New Burst Time = 0, Response Time = 72, Turn Around Time = 156
Process Id = 138, Previous Burst Time = 20, New Burst Time = 0, Response Time = 91, Turn Around Time = 111
Process Id = 139, Previous Burst Time = 25, New Burst Time = 0, Response Time = 104, Turn Around Time = 129
Process Id = 140, Previous Burst Time = 29, New Burst Time = 0, Response Time = 44, Turn Around Time = 73
Process Id = 141, Previous Burst Time = 72, New Burst Time = 0, Response Time = 53, Turn Around Time = 125
Process Id = 142, Previous Burst Time = 33, New Burst Time = 0, Response Time = 100, Turn Around Time = 133
Process Id = 143, Previous Burst Time = 30, New Burst Time = 0, Response Time = 104, Turn Around Time = 134
Process Id = 144, Previous Burst Time = 4, New Burst Time = 0, Response Time = 62, Turn Around Time = 66
Process Id = 145, Previous Burst Time = 20, New Burst Time = 0, Response Time = 33, Turn Around Time = 53
Process Id = 146, Previous Burst Time = 71, New Burst Time = 0, Response Time = 23, Turn Around Time = 94
Process Id = 147, Previous Burst Time = 69, New Burst Time = 0, Response Time = 90, Turn Around Time = 159
Process Id = 148, Previous Burst Time = 9, New Burst Time = 0, Response Time = 139, Turn Around Time = 148
Process Id = 149, Previous Burst Time = 16, New Burst Time = 0, Response Time = 77, Turn Around Time = 93
Process Id = 150, Previous Burst Time = 41, New Burst Time = 0, Response Time = 24, Turn Around Time = 65
Process Id = 151, Previous Burst Time = 50, New Burst Time = 0, Response Time = 57, Turn Around Time = 107
Process Id = 152, Previous Burst Time = 97, New Burst Time = 0, Response Time = 90, Turn Around Time = 187
Process Id = 153, Previous Burst Time = 24, New Burst Time = 0, Response Time = 146, Turn Around Time = 170
Process Id = 154, Previous Burst Time = 19, New Burst Time = 0, Response Time = 121, Turn Around Time = 140
Process Id = 155, Previous Burst Time = 46, New Burst Time = 0, Response Time = 42, Turn Around Time = 88
Process Id = 156, Previous Burst Time = 47, New Burst Time = 0, Response Time = 64, Turn Around Time = 111
Process Id = 157, Previous Burst Time = 52, New Burst Time = 0, Response Time = 92, Turn Around Time = 144
Process Id = 158, Previous Burst Time = 22, New Burst Time = 0, Response Time = 98, Turn Around Time = 120
Process Id = 159, Previous Burst Time = 56, New Burst Time = 0, Response Time = 73, Turn Around Time = 129
Process Id = 160, Previous Burst Time = 80, New Burst Time = 0, Response Time = 77, Turn Around Time = 157
Process Id = 161, Previous Burst Time = 89, New Burst Time = 0, Response Time = 136, Turn Around Time = 225
Process Id = 162, Previous Burst Time = 65, New Burst Time = 0, Response Time = 168, Turn Around Time = 233
Process Id = 163, Previous Burst Time = 29, New Burst Time = 0, Response Time = 153, Turn Around Time = 182
Process Id = 164, Previous Burst Time = 42, New Burst Time = 0, Response Time = 93, Turn Around Time = 135
